"filename", "language", "YAML", "Markdown", "Dart", "Properties", "Groovy", "C++", "Swift", "XML", "JSON", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 9, 0, 19
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 9, 0, 19
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 1, 7
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/build.gradle", "Groovy", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/gradle.properties", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 1, 7
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/settings.gradle", "Groovy", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/flutter_launcher_icons.yaml", "YAML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/flutter_native_splash.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Flutter/AppFrameworkInfo.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 1, 27
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 1, 123
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 1, 53
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 1, 24
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 1, 0, 44
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner/GoogleService-Info.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 34
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner/Info.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 1, 54
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/build/XCBuildData/0814c6965139370c19fe2bd3ffcb5528-buildRequest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 58
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/build/XCBuildData/4f0a109bcd620d436786ccfe6ca85b1b-buildRequest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 57
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/build/XCBuildData/95c4602fd2fc38cb6ca6f813f1c5567b-buildRequest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 57
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/build/XCBuildData/add050d1a923993b97104689f5a8172d-buildRequest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 57
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/build/XCBuildData/b1c421de37fafb0f2456023a8d0e1fb2-buildRequest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 58
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/build/XCBuildData/ea3aed8b77b5e2ada4a179cb72a53615-buildRequest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 57
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/main.dart", "Dart", 0, 0, 47, 0, 0, 0, 0, 0, 0, 18, 8, 73
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/config/bottom_navigation_bar.dart", "Dart", 0, 0, 51, 0, 0, 0, 0, 0, 0, 17, 5, 73
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/config/constants.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 0, 17, 2, 20
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/config/exceptions.dart", "Dart", 0, 0, 45, 0, 0, 0, 0, 0, 0, 17, 6, 68
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/models/article.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 17, 13, 91
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/models/country_data.dart", "Dart", 0, 0, 170, 0, 0, 0, 0, 0, 0, 17, 14, 201
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/models/prevention_data.dart", "Dart", 0, 0, 48, 0, 0, 0, 0, 0, 0, 17, 14, 79
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/models/state_data.dart", "Dart", 0, 0, 104, 0, 0, 0, 0, 0, 0, 17, 13, 134
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/models/symptom_data.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 17, 14, 73
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/models/world_data.dart", "Dart", 0, 0, 128, 0, 0, 0, 0, 0, 0, 17, 13, 158
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/providers/all_country_data_provider.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 17, 3, 27
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/providers/all_state_data_provider.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 17, 3, 27
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/providers/articles_future_provider.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 17, 3, 27
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/providers/country_data_provider.dart", "Dart", 0, 0, 9, 0, 0, 0, 0, 0, 0, 17, 3, 29
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/providers/country_repository_provider.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 0, 0, 17, 3, 25
